Depot,Route
0,"[[22, 70662, 70666, 70662, 70666, 22], [22, 70650, 70658, 70670, 70650, 70658, 70670, 70812, 70816, 70818, 70818, 70812, 70816, 22], [22, 70835, 70830, 70838, 70840, 70838, 70835, 70830, 70840, 22]]"
1,"[[6, 70664, 70671, 70651, 70671, 70651, 70664, 70822, 70822, 6], [6, 70656, 70653, 70660, 70656, 70660, 70653, 6]]"
