Depot,Route,Vehicle
0,"[[22, 70662, 70666, 70666, 70662, 22], [22, 70650, 70671, 70650, 70671, 22], [22, 70651, 70658, 70651, 70658, 70812, 70816, 70816, 70838, 70838, 70812, 22], [22, 70840, 70830, 70835, 70840, 70830, 70835, 22], [22, 70660, 70656, 70660, 70656, 22]]","[1, 1, 1, 1, 1]"
1,"[[6, 70670, 70653, 70664, 70653, 70664, 70670, 70818, 70818, 6], [6, 70822, 70822, 6]]","[1, 1]"
