Depot,Route,Vehicle
0,"[[6, 84891, 84893, 84914, 84914, 84893, 84891, 84916, 84915, 84956, 84915, 84916, 84956, 84982, 84982, 6], [6, 85015, 85031, 85050, 85015, 85031, 85050, 85088, 85088, 85101, 85101, 85121, 85127, 85121, 85127, 85200, 85200, 85204, 85204, 85249, 85249, 85245, 85245, 6], [6, 85013, 85013, 85033, 85033, 85066, 85066, 85074, 85074, 85125, 85125, 85193, 85193, 85198, 85183, 85183, 85203, 85203, 85198, 6], [6, 85017, 85017, 85009, 85027, 85009, 84992, 85067, 84992, 85027, 85061, 85067, 85061, 85197, 85197, 85155, 85155, 84990, 84996, 84990, 85238, 85238, 84996, 6], [6, 84974, 84974, 85080, 85080, 85106, 85106, 85083, 85083, 85167, 85145, 85167, 85165, 85145, 85165, 85177, 85177, 84987, 84987, 6], [6, 85008, 85008, 84980, 84980, 85029, 85029, 85065, 85069, 85072, 85072, 85069, 85065, 85099, 85099, 85119, 85119, 6], [6, 85020, 85020, 85062, 85079, 85062, 85079, 85115, 85115, 85139, 85141, 85141, 85173, 85173, 85139, 6], [6, 84979, 84979, 85032, 85086, 85082, 85032, 85058, 85058, 85113, 85086, 85082, 85151, 85113, 85201, 85201, 85151, 85163, 85163, 85241, 85215, 85215, 85251, 85252, 85247, 85241, 85252, 85251, 85247, 6], [6, 84984, 84984, 85064, 85064, 85076, 85134, 85134, 85076, 85142, 85142, 85202, 85000, 85000, 85202, 6], [6, 84885, 84890, 84885, 84890, 84966, 84941, 84966, 84941, 85022, 85016, 85022, 85016, 85038, 85078, 85078, 85094, 85038, 85051, 85096, 85096, 85051, 85094, 6], [6, 84888, 84889, 84889, 84910, 84888, 84910, 84967, 84967, 85037, 85037, 85063, 85063, 85084, 85077, 85077, 85084, 85133, 85133, 85157, 85171, 85171, 85157, 6], [6, 84997, 85021, 85021, 84997, 84973, 84973, 85098, 85144, 85098, 85144, 85108, 85108, 85132, 85132, 85182, 85211, 85182, 85209, 85209, 85211, 6], [6, 85130, 85147, 85164, 85164, 85130, 85147, 85135, 85135, 85207, 85226, 85226, 85207, 85210, 85210, 6], [6, 84903, 84904, 84896, 84896, 84921, 84924, 84959, 84903, 84904, 84924, 84959, 84921, 85206, 85206, 84857, 84857, 85248, 85248, 6], [6, 84884, 84886, 84884, 84886, 84932, 84927, 84932, 84936, 84935, 84936, 84935, 84927, 6], [6, 84887, 84898, 84898, 84887, 84917, 84968, 84917, 84929, 84964, 84929, 84925, 84925, 84968, 84964, 84970, 84970, 6]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2]"
1,"[[22, 84920, 84907, 84937, 84907, 84920, 84937, 84989, 84989, 84983, 84983, 84993, 85090, 84993, 85090, 85146, 85205, 85146, 85196, 85196, 85205, 22]]",[1]
