Depot,Route
0,"[[22, 70658, 70670, 70658, 70670, 70812, 70812, 22], [22, 70840, 70838, 70830, 70835, 70838, 70840, 70830, 70835, 22]]"
1,"[[6, 70650, 70660, 70656, 70656, 70660, 70650, 70662, 70666, 70666, 70662, 70822, 70816, 70822, 70816, 6], [6, 70671, 70664, 70653, 70651, 70671, 70651, 70653, 70664, 70818, 70818, 6]]"
