Depot,Route
0,"[[22, 70653, 70664, 70660, 70660, 70653, 70664, 70812, 70816, 70812, 70816, 22], [22, 70650, 70650, 70656, 70666, 70662, 70656, 70662, 70666, 22]]"
1,"[[6, 70671, 70835, 70838, 70838, 70671, 70835, 70822, 70822, 6], [6, 70670, 70651, 70658, 70651, 70658, 70670, 70818, 70818, 70830, 70840, 70830, 70840, 6]]"
