Depot,Route,Vehicle
0,"[[6, 84903, 84896, 84903, 84896, 84917, 84968, 84924, 84917, 84964, 84924, 84964, 84968, 85065, 85031, 85031, 85065, 85077, 85077, 6], [6, 84914, 84914, 85009, 85009, 85084, 85084, 85079, 85079, 85115, 85115, 85133, 85133, 85167, 85201, 85167, 85201, 85209, 85209, 85247, 85248, 85247, 85249, 85249, 85248, 6], [6, 84885, 84885, 84916, 84916, 84941, 84966, 84966, 84941, 84932, 84932, 84936, 84936, 85086, 85062, 85062, 85076, 85076, 85086, 85182, 85182, 85151, 85196, 85196, 85151, 6], [6, 84886, 84887, 84886, 84887, 85013, 85022, 85022, 85013, 85058, 85058, 84993, 85078, 85078, 85113, 84993, 85165, 85165, 85113, 85198, 85164, 85164, 85198, 84987, 84987, 6], [6, 84884, 84898, 84884, 84929, 84929, 84898, 84935, 84935, 85008, 85032, 85032, 85008, 84992, 84992, 85094, 85098, 85098, 85132, 85132, 85094, 85202, 85202, 85200, 85200, 85245, 85252, 85252, 85251, 85251, 85245, 6], [6, 84888, 84888, 84915, 84915, 84956, 84956, 84974, 84982, 84982, 84974, 85082, 85069, 85090, 85090, 85069, 85082, 6], [6, 84973, 84970, 84979, 84970, 84973, 84979, 85016, 85016, 85074, 85074, 85061, 85061, 85147, 85141, 85147, 85141, 85142, 85142, 85203, 85193, 85203, 85193, 6], [6, 84921, 84959, 84904, 84904, 84959, 84921, 84967, 84967, 85134, 85134, 85183, 85144, 85144, 85139, 85139, 85183, 85226, 85226, 84857, 84857, 6], [6, 85038, 85067, 85038, 85029, 85029, 85072, 85072, 85067, 85135, 85135, 85145, 85145, 85207, 85207, 84996, 84996, 6], [6, 84927, 84927, 84983, 85033, 84983, 85033, 85080, 85080, 85066, 85066, 85157, 85130, 85130, 85157, 6], [6, 84925, 84925, 85125, 85125, 85101, 85101, 85155, 85155, 85204, 85204, 85215, 85215, 84990, 85000, 84990, 85000, 6], [6, 84989, 84989, 84980, 85063, 84980, 85083, 85051, 85063, 85051, 85083, 85127, 85127, 85171, 85210, 85171, 85211, 85211, 85210, 6], [6, 85050, 85050, 85119, 85119, 85096, 85096, 85177, 85121, 85121, 85177, 6], [6, 84920, 84907, 84907, 84920, 85108, 85108, 85205, 85205, 85206, 85241, 85206, 85241, 85238, 85238, 6], [6, 85020, 85020, 85173, 85197, 85197, 85173, 6], [6, 85163, 85163, 6]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,"[[22, 84890, 84891, 84891, 84890, 84984, 84984, 85037, 85037, 85021, 85021, 85088, 85088, 85064, 85064, 22], [22, 84889, 84893, 84893, 84910, 84889, 84910, 85015, 85015, 84937, 84937, 22], [22, 84997, 85017, 84997, 85017, 85027, 85027, 85106, 85106, 85099, 85099, 85146, 85146, 22]]","[1, 1, 1]"
